full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/Library/Ossec/active-response/bin/firewall-drop,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/host-deny,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/firewalld-drop,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/kaspersky.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/default-firewall-drop,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/npf,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/pf,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/ip-customblock,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/ipfw,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/route-null,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/restart-bongosec,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/bongosec-slack,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/kaspersky,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/disable-account,root,bongosec,750,file,-rwxr-x---,,
